"TIME_PERIOD";"GEO";"ERWP";"ERWL";"POP1564";"UNIT_MEA";"OBS_VALUE";"OBS_CONFIDENCE";"OBS_STATUS"
2010;"CH024";"Total";"Total";"Total";"pers";141068;0.1972;"A"
2010;"CH013";"1";"Total";"Total";"pers";221351;1.1058;"A"
2010;"CH013";"Total";"Total";"Total";"pers";359847;0.2137;"A"
2010;"CH025";"1";"Total";"Total";"pers";35671;2.4417;"A"
2010;"CH025";"Total";"Total";"Total";"pers";57490;0.2694;"A"
2010;"CH";"1";"Total";"Total";"pers";4306453;0.2750;"A"
2010;"CH";"Total";"Total";"Total";"pers";6519253;0.0437;"A"
2010;"CH040";"1";"Total";"Total";"pers in %";68.47331;0.4287;"A"
2010;"CH040";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH021";"1";"Total";"Total";"pers in %";66.02200;0.5252;"A"
2010;"CH021";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH061";"1";"Total";"Total";"pers in %";68.53551;0.6349;"A"
2010;"CH061";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH062";"1";"Total";"Total";"pers in %";64.09733;2.9498;"A"
2010;"CH062";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH063";"1";"Total";"Total";"pers in %";68.89584;1.4929;"A"
2010;"CH063";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH064";"1";"Total";"Total";"pers in %";70.51431;3.0659;"A"
2010;"CH064";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH065";"1";"Total";"Total";"pers in %";67.45983;2.7912;"A"
2010;"CH065";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH051";"1";"Total";"Total";"pers in %";68.82156;2.9431;"A"
2010;"CH051";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH066";"1";"Total";"Total";"pers in %";68.95315;1.2114;"A"
2010;"CH066";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH022";"1";"Total";"Total";"pers in %";68.12322;1.1020;"A"
2010;"CH022";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH023";"1";"Total";"Total";"pers in %";66.76286;1.1128;"A"
2010;"CH023";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH031";"1";"Total";"Total";"pers in %";61.15899;1.3116;"A"
2010;"CH031";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH032";"1";"Total";"Total";"pers in %";63.32872;1.0822;"A"
2010;"CH032";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH052";"1";"Total";"Total";"pers in %";64.90614;2.0437;"A"
2010;"CH052";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH053";"1";"Total";"Total";"pers in %";66.77791;2.4188;"A"
2010;"CH053";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH054";"1";"Total";"Total";"pers in %";66.88744;4.6399;"A"
2010;"CH054";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH055";"1";"Total";"Total";"pers in %";67.87089;0.8211;"A"
2010;"CH055";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH056";"1";"Total";"Total";"pers in %";67.05092;1.2782;"A"
2010;"CH056";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH033";"1";"Total";"Total";"pers in %";68.45787;0.5060;"A"
2010;"CH033";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH057";"1";"Total";"Total";"pers in %";68.66772;0.7933;"A"
2010;"CH057";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH070";"1";"Total";"Total";"pers in %";57.07111;0.7079;"A"
2010;"CH070";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH011";"1";"Total";"Total";"pers in %";64.99679;0.4917;"A"
2010;"CH011";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH012";"1";"Total";"Total";"pers in %";63.07726;1.0954;"A"
2010;"CH012";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH024";"1";"Total";"Total";"pers in %";63.01430;0.9420;"A"
2010;"CH024";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH013";"1";"Total";"Total";"pers in %";61.51261;0.6476;"A"
2010;"CH013";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH025";"1";"Total";"Total";"pers in %";62.04696;1.4987;"A"
2010;"CH025";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH";"1";"Total";"Total";"pers in %";66.05745;0.1817;"A"
2010;"CH";"Total";"Total";"Total";"pers in %";100.00000;0.0437;"A"
2010;"CH040";"1";"Total";"1";"pers";771790;0.6691;"A"
2010;"CH040";"Total";"Total";"1";"pers";938365;0.4713;"A"
2010;"CH021";"1";"Total";"1";"pers";534528;0.8319;"A"
2010;"CH021";"Total";"Total";"1";"pers";650369;0.5957;"A"
2010;"CH061";"1";"Total";"1";"pers";209081;0.9819;"A"
2010;"CH061";"Total";"Total";"1";"pers";255097;0.6763;"A"
2010;"CH062";"1";"Total";"1";"pers";18213;4.7659;"A"
2010;"CH062";"Total";"Total";"1";"pers";22663;3.2868;"A"
2010;"CH063";"1";"Total";"1";"pers";81968;2.2326;"A"
2010;"CH063";"Total";"Total";"1";"pers";101140;1.4424;"A"
2010;"CH064";"1";"Total";"1";"pers";20299;4.4790;"A"
2010;"CH064";"Total";"Total";"1";"pers";24745;2.9704;"A"
2010;"CH065";"1";"Total";"1";"pers";22898;4.2944;"A"
2010;"CH065";"Total";"Total";"1";"pers";27933;2.9677;"A"
2010;"CH051";"1";"Total";"1";"pers";21800;4.5482;"A"
2010;"CH051";"Total";"Total";"1";"pers";26346;3.1770;"A"
2010;"CH066";"1";"Total";"1";"pers";62927;1.8701;"A"
2010;"CH066";"Total";"Total";"1";"pers";77301;1.2512;"A"
2010;"CH022";"1";"Total";"1";"pers";151432;1.7045;"A"
2010;"CH022";"Total";"Total";"1";"pers";188374;1.1000;"A"
2010;"CH023";"1";"Total";"1";"pers";140927;1.7882;"A"
2010;"CH023";"Total";"Total";"1";"pers";172247;1.2745;"A"
2010;"CH031";"1";"Total";"1";"pers";91762;2.2899;"A"
2010;"CH031";"Total";"Total";"1";"pers";117976;1.5818;"A"
2010;"CH032";"1";"Total";"1";"pers";143814;1.8109;"A"
2010;"CH032";"Total";"Total";"1";"pers";180326;1.2764;"A"
2010;"CH052";"1";"Total";"1";"pers";40987;3.3962;"A"
2010;"CH052";"Total";"Total";"1";"pers";50616;2.3972;"A"
2010;"CH053";"1";"Total";"1";"pers";29004;3.8065;"A"
2010;"CH053";"Total";"Total";"1";"pers";35512;2.7078;"A"
2010;"CH054";"1";"Total";"1";"pers";8307;7.3397;"A"
2010;"CH054";"Total";"Total";"1";"pers";10222;5.0829;"A"
2010;"CH055";"1";"Total";"1";"pers";264276;1.2722;"A"
2010;"CH055";"Total";"Total";"1";"pers";324081;0.8659;"A"
2010;"CH056";"1";"Total";"1";"pers";106961;2.0527;"A"
2010;"CH056";"Total";"Total";"1";"pers";130223;1.4484;"A"
2010;"CH033";"1";"Total";"1";"pers";342612;0.7881;"A"
2010;"CH033";"Total";"Total";"1";"pers";419823;0.5393;"A"
2010;"CH057";"1";"Total";"1";"pers";139298;1.2516;"A"
2010;"CH057";"Total";"Total";"1";"pers";170528;0.8626;"A"
2010;"CH070";"1";"Total";"1";"pers";157162;1.3123;"A"
2010;"CH070";"Total";"Total";"1";"pers";216873;0.8254;"A"
2010;"CH011";"1";"Total";"1";"pers";365616;0.7980;"A"
2010;"CH011";"Total";"Total";"1";"pers";466501;0.5290;"A"
2010;"CH012";"1";"Total";"1";"pers";159821;1.8106;"A"
2010;"CH012";"Total";"Total";"1";"pers";205861;1.1851;"A"
2010;"CH024";"1";"Total";"1";"pers";87755;1.5748;"A"
2010;"CH024";"Total";"Total";"1";"pers";112519;1.0441;"A"
2010;"CH013";"1";"Total";"1";"pers";216907;1.1370;"A"
2010;"CH013";"Total";"Total";"1";"pers";289374;0.7382;"A"
2010;"CH025";"1";"Total";"1";"pers";35244;2.4812;"A"
2010;"CH025";"Total";"Total";"1";"pers";45312;1.6359;"A"
2010;"CH";"1";"Total";"1";"pers";4225390;0.2830;"A"
2010;"CH";"Total";"Total";"1";"pers";5260326;0.1940;"A"
2010;"CH040";"1";"Total";"1";"pers in %";82.24835;0.3997;"A"
2010;"CH040";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH021";"1";"Total";"1";"pers in %";82.18848;0.4824;"A"
2010;"CH021";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH061";"1";"Total";"1";"pers in %";81.96124;0.5870;"A"
2010;"CH061";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH062";"1";"Total";"1";"pers in %";80.36407;2.7502;"A"
2010;"CH062";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH063";"1";"Total";"1";"pers in %";81.04384;1.3672;"A"
2010;"CH063";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH064";"1";"Total";"1";"pers in %";82.03559;2.8243;"A"
2010;"CH064";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH065";"1";"Total";"1";"pers in %";81.97496;2.5453;"A"
2010;"CH065";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH051";"1";"Total";"1";"pers in %";82.74430;2.6603;"A"
2010;"CH051";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH066";"1";"Total";"1";"pers in %";81.40572;1.1255;"A"
2010;"CH066";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH022";"1";"Total";"1";"pers in %";80.38904;1.0347;"A"
2010;"CH022";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH023";"1";"Total";"1";"pers in %";81.81702;1.0405;"A"
2010;"CH023";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH031";"1";"Total";"1";"pers in %";77.78059;1.3019;"A"
2010;"CH031";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH032";"1";"Total";"1";"pers in %";79.75217;1.0429;"A"
2010;"CH032";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH052";"1";"Total";"1";"pers in %";80.97716;1.9150;"A"
2010;"CH052";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH053";"1";"Total";"1";"pers in %";81.67296;2.2706;"A"
2010;"CH053";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH054";"1";"Total";"1";"pers in %";81.26469;4.3098;"A"
2010;"CH054";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH055";"1";"Total";"1";"pers in %";81.54637;0.7583;"A"
2010;"CH055";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH056";"1";"Total";"1";"pers in %";82.13679;1.1750;"A"
2010;"CH056";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH033";"1";"Total";"1";"pers in %";81.60876;0.4727;"A"
2010;"CH033";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH057";"1";"Total";"1";"pers in %";81.68658;0.7443;"A"
2010;"CH057";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH070";"1";"Total";"1";"pers in %";72.46732;0.7350;"A"
2010;"CH070";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH011";"1";"Total";"1";"pers in %";78.37420;0.4788;"A"
2010;"CH011";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH012";"1";"Total";"1";"pers in %";77.63537;1.0647;"A"
2010;"CH012";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH024";"1";"Total";"1";"pers in %";77.99129;0.9158;"A"
2010;"CH024";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH013";"1";"Total";"1";"pers in %";74.95725;0.6596;"A"
2010;"CH013";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH025";"1";"Total";"1";"pers in %";77.77988;1.4489;"A"
2010;"CH025";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH";"1";"Total";"1";"pers in %";80.32564;0.2273;"A"
2010;"CH";"Total";"Total";"1";"pers in %";100.00000;0.1940;"A"
2010;"CH040";"Total";"0";"1";"pers";743536;0.7020;"A"
2010;"CH040";"Total";"1";"1";"pers";28254;5.8882;"A"
2010;"CH040";"Total";"Total";"1";"pers";771790;0.6691;"A"
2010;"CH021";"Total";"0";"1";"pers";515606;0.8689;"A"
2010;"CH021";"Total";"1";"1";"pers";18922;7.4121;"A"
2010;"CH021";"Total";"Total";"1";"pers";534528;0.8319;"A"
2010;"CH061";"Total";"0";"1";"pers";202345;1.0254;"A"
2010;"CH061";"Total";"1";"1";"pers";6735;9.5896;"A"
2010;"CH061";"Total";"Total";"1";"pers";209081;0.9819;"A"
2010;"CH062";"Total";"0";"1";"pers";17755;4.9186;"A"
2010;"CH062";"Total";"1";"1";"pers";457.57754;49.6401;"U"
2010;"CH062";"Total";"Total";"1";"pers";18213;4.7659;"A"
2010;"CH063";"Total";"0";"1";"pers";79608;2.3206;"A"
2010;"CH063";"Total";"1";"1";"pers";2360;23.9221;"A"
2010;"CH063";"Total";"Total";"1";"pers";81968;2.2326;"A"
2010;"CH064";"Total";"0";"1";"pers";19942;4.6111;"A"
2010;"CH064";"Total";"1";"1";"pers";357.74724;58.7816;"U"
2010;"CH064";"Total";"Total";"1";"pers";20299;4.4790;"A"
2010;"CH065";"Total";"0";"1";"pers";22342;4.4306;"A"
2010;"CH065";"Total";"1";"1";"pers";555.99214;48.9642;"U"
2010;"CH065";"Total";"Total";"1";"pers";22898;4.2944;"A"
2010;"CH051";"Total";"0";"1";"pers";21372;4.6619;"A"
2010;"CH051";"Total";"1";"1";"pers";427.89046;58.8753;"U"
2010;"CH051";"Total";"Total";"1";"pers";21800;4.5482;"A"
2010;"CH066";"Total";"0";"1";"pers";60622;1.9659;"A"
2010;"CH066";"Total";"1";"1";"pers";2305;17.1148;"A"
2010;"CH066";"Total";"Total";"1";"pers";62927;1.8701;"A"
2010;"CH022";"Total";"0";"1";"pers";145904;1.7940;"A"
2010;"CH022";"Total";"1";"1";"pers";5528;15.3646;"A"
2010;"CH022";"Total";"Total";"1";"pers";151432;1.7045;"A"
2010;"CH023";"Total";"0";"1";"pers";134770;1.8888;"A"
2010;"CH023";"Total";"1";"1";"pers";6157;14.4941;"A"
2010;"CH023";"Total";"Total";"1";"pers";140927;1.7882;"A"
2010;"CH031";"Total";"0";"1";"pers";85299;2.4789;"A"
2010;"CH031";"Total";"1";"1";"pers";6463;13.3239;"A"
2010;"CH031";"Total";"Total";"1";"pers";91762;2.2899;"A"
2010;"CH032";"Total";"0";"1";"pers";138444;1.8927;"A"
2010;"CH032";"Total";"1";"1";"pers";5370;15.1644;"A"
2010;"CH032";"Total";"Total";"1";"pers";143814;1.8109;"A"
2010;"CH052";"Total";"0";"1";"pers";39123;3.5794;"A"
2010;"CH052";"Total";"1";"1";"pers";1865;26.5392;"A"
2010;"CH052";"Total";"Total";"1";"pers";40987;3.3962;"A"
2010;"CH053";"Total";"0";"1";"pers";27944;3.9796;"A"
2010;"CH053";"Total";"1";"1";"pers";1060;34.9169;"U"
2010;"CH053";"Total";"Total";"1";"pers";29004;3.8065;"A"
2010;"CH054";"Total";"0";"1";"pers";8203;7.4623;"A"
2010;"CH054";"Total";"1";"1";"pers";;;"L"
2010;"CH054";"Total";"Total";"1";"pers";8307;7.3397;"A"
2010;"CH055";"Total";"0";"1";"pers";254598;1.3358;"A"
2010;"CH055";"Total";"1";"1";"pers";9678;11.5688;"A"
2010;"CH055";"Total";"Total";"1";"pers";264276;1.2722;"A"
2010;"CH056";"Total";"0";"1";"pers";104286;2.1184;"A"
2010;"CH056";"Total";"1";"1";"pers";2675;22.2716;"A"
2010;"CH056";"Total";"Total";"1";"pers";106961;2.0527;"A"
2010;"CH033";"Total";"0";"1";"pers";330904;0.8252;"A"
2010;"CH033";"Total";"1";"1";"pers";11709;7.4184;"A"
2010;"CH033";"Total";"Total";"1";"pers";342612;0.7881;"A"
2010;"CH057";"Total";"0";"1";"pers";134293;1.3117;"A"
2010;"CH057";"Total";"1";"1";"pers";5005;11.5215;"A"
2010;"CH057";"Total";"Total";"1";"pers";139298;1.2516;"A"
2010;"CH070";"Total";"0";"1";"pers";145751;1.4151;"A"
2010;"CH070";"Total";"1";"1";"pers";11411;7.2119;"A"
2010;"CH070";"Total";"Total";"1";"pers";157162;1.3123;"A"
2010;"CH011";"Total";"0";"1";"pers";341856;0.8630;"A"
2010;"CH011";"Total";"1";"1";"pers";23761;5.1831;"A"
2010;"CH011";"Total";"Total";"1";"pers";365616;0.7980;"A"
2010;"CH012";"Total";"0";"1";"pers";153642;1.8982;"A"
2010;"CH012";"Total";"1";"1";"pers";6179;14.8322;"A"
2010;"CH012";"Total";"Total";"1";"pers";159821;1.8106;"A"
2010;"CH024";"Total";"0";"1";"pers";81368;1.7171;"A"
2010;"CH024";"Total";"1";"1";"pers";6387;9.3123;"A"
2010;"CH024";"Total";"Total";"1";"pers";87755;1.5748;"A"
2010;"CH013";"Total";"0";"1";"pers";195847;1.2644;"A"
2010;"CH013";"Total";"1";"1";"pers";21060;5.6004;"A"
2010;"CH013";"Total";"Total";"1";"pers";216907;1.1370;"A"
2010;"CH025";"Total";"0";"1";"pers";33343;2.6485;"A"
2010;"CH025";"Total";"1";"1";"pers";1900;17.0505;"A"
2010;"CH025";"Total";"Total";"1";"pers";35244;2.4812;"A"
2010;"CH";"Total";"0";"1";"pers";4038702;0.2988;"A"
2010;"CH";"Total";"1";"1";"pers";186688;2.1927;"A"
2010;"CH";"Total";"Total";"1";"pers";4225390;0.2830;"A"
2010;"CH040";"Total";"0";"1";"pers in %";96.33915;0.2138;"A"
2010;"CH040";"Total";"1";"1";"pers in %";3.66085;0.2138;"A"
2010;"CH040";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH021";"Total";"0";"1";"pers in %";96.46006;0.2601;"A"
2010;"CH021";"Total";"1";"1";"pers in %";3.53994;0.2601;"A"
2010;"CH021";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH061";"Total";"0";"1";"pers in %";96.77858;0.3066;"A"
2010;"CH061";"Total";"1";"1";"pers in %";3.22142;0.3066;"A"
2010;"CH061";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH062";"Total";"0";"1";"pers in %";97.48759;1.2400;"A"
2010;"CH062";"Total";"1";"1";"pers in %";2.51241;1.2400;"U"
2010;"CH062";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH063";"Total";"0";"1";"pers in %";97.12085;0.6838;"A"
2010;"CH063";"Total";"1";"1";"pers in %";2.87915;0.6838;"A"
2010;"CH063";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH064";"Total";"0";"1";"pers in %";98.23764;1.0337;"A"
2010;"CH064";"Total";"1";"1";"pers in %";1.76236;1.0337;"U"
2010;"CH064";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH065";"Total";"0";"1";"pers in %";97.57188;1.1815;"A"
2010;"CH065";"Total";"1";"1";"pers in %";2.42812;1.1815;"U"
2010;"CH065";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH051";"Total";"0";"1";"pers in %";98.03716;1.1494;"A"
2010;"CH051";"Total";"1";"1";"pers in %";1.96284;1.1494;"U"
2010;"CH051";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH066";"Total";"0";"1";"pers in %";96.33692;0.6218;"A"
2010;"CH066";"Total";"1";"1";"pers in %";3.66308;0.6218;"A"
2010;"CH066";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH022";"Total";"0";"1";"pers in %";96.34942;0.5568;"A"
2010;"CH022";"Total";"1";"1";"pers in %";3.65058;0.5568;"A"
2010;"CH022";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH023";"Total";"0";"1";"pers in %";95.63073;0.6265;"A"
2010;"CH023";"Total";"1";"1";"pers in %";4.36927;0.6265;"A"
2010;"CH023";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH031";"Total";"0";"1";"pers in %";92.95643;0.9216;"A"
2010;"CH031";"Total";"1";"1";"pers in %";7.04357;0.9216;"A"
2010;"CH031";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH032";"Total";"0";"1";"pers in %";96.26626;0.5610;"A"
2010;"CH032";"Total";"1";"1";"pers in %";3.73374;0.5610;"A"
2010;"CH032";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH052";"Total";"0";"1";"pers in %";95.45030;1.1924;"A"
2010;"CH052";"Total";"1";"1";"pers in %";4.54970;1.1924;"A"
2010;"CH052";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH053";"Total";"0";"1";"pers in %";96.34523;1.2634;"A"
2010;"CH053";"Total";"1";"1";"pers in %";3.65477;1.2634;"U"
2010;"CH053";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH054";"Total";"0";"1";"pers in %";98.75462;1.2454;"A"
2010;"CH054";"Total";"1";"1";"pers in %";;;"L"
2010;"CH054";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH055";"Total";"0";"1";"pers in %";96.33777;0.4201;"A"
2010;"CH055";"Total";"1";"1";"pers in %";3.66223;0.4201;"A"
2010;"CH055";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH056";"Total";"0";"1";"pers in %";97.49881;0.5536;"A"
2010;"CH056";"Total";"1";"1";"pers in %";2.50119;0.5536;"A"
2010;"CH056";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH033";"Total";"0";"1";"pers in %";96.58250;0.2516;"A"
2010;"CH033";"Total";"1";"1";"pers in %";3.41750;0.2516;"A"
2010;"CH033";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH057";"Total";"0";"1";"pers in %";96.40665;0.4104;"A"
2010;"CH057";"Total";"1";"1";"pers in %";3.59335;0.4104;"A"
2010;"CH057";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH070";"Total";"0";"1";"pers in %";92.73929;0.5132;"A"
2010;"CH070";"Total";"1";"1";"pers in %";7.26071;0.5132;"A"
2010;"CH070";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH011";"Total";"0";"1";"pers in %";93.50120;0.3312;"A"
2010;"CH011";"Total";"1";"1";"pers in %";6.49880;0.3312;"A"
2010;"CH011";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH012";"Total";"0";"1";"pers in %";96.13369;0.5684;"A"
2010;"CH012";"Total";"1";"1";"pers in %";3.86631;0.5684;"A"
2010;"CH012";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH024";"Total";"0";"1";"pers in %";92.72184;0.6656;"A"
2010;"CH024";"Total";"1";"1";"pers in %";7.27816;0.6656;"A"
2010;"CH024";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH013";"Total";"0";"1";"pers in %";90.29089;0.5293;"A"
2010;"CH013";"Total";"1";"1";"pers in %";9.70911;0.5293;"A"
2010;"CH013";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH025";"Total";"0";"1";"pers in %";94.60857;0.9077;"A"
2010;"CH025";"Total";"1";"1";"pers in %";5.39143;0.9077;"A"
2010;"CH025";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH";"Total";"0";"1";"pers in %";95.58175;0.2856;"A"
2010;"CH";"Total";"1";"1";"pers in %";4.41825;0.0969;"A"
