DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,POP,OBS_FLAG
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH021,2017,1028.82,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH021,2018,1033.05,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH021,2019,1037.23,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH022,2014,300.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH022,2015,305.42,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH022,2016,309.69,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH022,2017,313.49,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH022,2018,316.89,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH022,2019,320.25,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH023,2014,262.58,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH023,2015,265.07,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH023,2016,267.93,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH023,2017,270.44,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH023,2018,272.31,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH023,2019,274.22,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH024,2014,176.86,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH024,2015,177.72,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH024,2016,178.34,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH024,2017,178.27,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH024,2018,177.41,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH024,2019,176.67,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH025,2014,72.07,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH025,2015,72.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH025,2016,72.95,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH025,2017,73.21,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH025,2018,73.35,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH025,2019,73.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH031,2014,189.96,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH031,2015,191.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH031,2016,192.44,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH031,2017,193.49,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH031,2018,194.34,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH031,2019,195.31,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH032,2014,279.98,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH032,2015,282.27,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH032,2016,284.43,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH032,2017,286.32,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH032,2018,287.58,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH032,2019,288.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH033,2014,640.82,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH033,2015,649.48,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH033,2016,658.57,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH033,2017,667.23,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH033,2018,674.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH033,2019,682.03,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH040,2014,1435.95,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH040,2015,1456.39,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH040,2016,1477.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH040,2017,1496.16,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH040,2018,1512.66,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH040,2019,1530.12,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH051,2014,39.69,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH051,2015,39.91,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH051,2016,40.09,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH051,2017,40.25,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH051,2018,40.38,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH051,2019,40.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH052,2014,79.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH052,2015,79.63,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH052,2016,80.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH052,2017,81.06,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH052,2018,81.67,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH052,2019,82.17,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH053,2014,53.88,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH053,2015,54.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH053,2016,54.75,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH053,2017,55.07,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH053,2018,55.21,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH053,2019,55.34,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH054,2014,15.82,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH054,2015,15.91,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH054,2016,15.99,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH054,2017,16.05,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH054,2018,16.12,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH054,2019,16.14,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH055,2014,493.76,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH055,2015,497.44,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH055,2016,500.81,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH055,2017,503.62,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH055,2018,506.19,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH055,2019,509.22,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH056,2014,195.42,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH056,2015,196.25,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH056,2016,197.08,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH056,2017,197.72,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH056,2018,198.13,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH056,2019,198.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH057,2014,262.01,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH057,2015,265.58,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH057,2016,269.07,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH057,2017,272.26,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH057,2018,275.14,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH057,2019,278.01,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH061,2014,392.48,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH061,2015,396.68,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH061,2016,401.08,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH061,2017,404.95,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH061,2018,408.03,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH061,2019,411.34,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH062,2014,35.94,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH062,2015,35.99,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH062,2016,36.06,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH062,2017,36.22,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH062,2018,36.37,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH062,2019,36.57,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH063,2014,152.08,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH063,2015,153.43,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH063,2016,154.98,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH063,2017,156.58,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH063,2018,158.23,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH063,2019,159.82,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH064,2014,36.67,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH064,2015,36.96,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH064,2016,37.23,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH064,2017,37.48,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH064,2018,37.71,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH064,2019,37.89,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH065,2014,41.98,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH065,2015,42.25,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH065,2016,42.49,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH065,2017,42.76,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH065,2018,43.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH065,2019,43.16,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH066,2014,119.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH066,2015,121.11,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH066,2016,123.04,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH066,2017,124.68,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH066,2018,126.13,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH066,2019,127.24,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH070,2014,348.45,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH070,2015,351.15,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH070,2016,353.16,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH070,2017,354.04,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH070,2018,353.53,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH070,2019,352.42,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2000,1095.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2001,1095.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2002,1098,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2003,1102.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2004,1106.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2005,1111.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2006,1117.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2007,1124.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2008,1131.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2009,1136.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2010,1138.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2011,1140,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2012,1139.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2013,1135.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2014,1130.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2015,1125.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2016,1122,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2017,1120,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2018,1120.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2019,1121.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES111,2020,1122.9,p
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2000,360.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2001,358.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2002,356.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2003,355,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2004,353.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2005,352.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2006,352.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2007,352.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2008,352.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2009,351.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2010,349.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2011,348.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2012,346.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2013,343.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2014,340.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2015,337.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2016,334.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2017,332.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2018,329.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2019,328.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES112,2020,327.1,p
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2000,340.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2001,338.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2002,337.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2003,336.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2004,335.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2005,334.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2006,333.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2007,332.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2008,332.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2009,331.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2010,330.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2011,329,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2012,326.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2013,323.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2014,320.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2015,316.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2016,312.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2017,309.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2018,308,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2019,306.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES113,2020,305.7,p
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2000,902.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2001,903,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2002,907.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2003,913.3,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2004,918.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2005,924.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2006,930.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2007,937,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2008,944.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2009,949.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2010,952.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2011,954.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2012,953.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2013,951.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2014,948.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2015,946.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2016,943.5,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2017,941.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2018,940.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2019,941.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES114,2020,942.9,p
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2000,1066.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2001,1063.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2002,1062.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2003,1062.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2004,1062.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2005,1062.6,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2006,1063.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2007,1068,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2008,1074,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2009,1076.4,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2010,1076.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2011,1075.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2012,1070.7,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2013,1062.9,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2014,1054.1,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2015,1044,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2016,1037,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2017,1030,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2018,1024.2,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2019,1020,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,ES120,2020,1015.5,p
